cpu_utilization,power_consumption
3.4833244000000003,3.3093333
4.141084175,3.3093333
4.141084175,3.3093333
4.141084175,3.2966667
3.359191525,3.2966667
3.359191525,3.2966667
3.359191525,3.2273333
4.189766625,3.2273333
4.189766625,3.2273333
4.189766625,3.284
3.42144435,3.284
3.42144435,3.284
3.42144435,3.2903333
3.888221175,3.2903333
3.888221175,3.2903333
3.888221175,3.341
3.82361725,3.341
3.82361725,3.341
3.82361725,3.3916667
3.9738454499999993,3.3916667
3.9738454499999993,3.3916667
3.9738454499999993,3.341
3.300594375,3.341
3.300594375,3.341
3.300594375,3.3726667
4.143058325,3.3726667
4.143058325,3.3726667
4.143058325,3.379
3.327696625,3.379
3.327696625,3.379
3.327696625,3.3283333
4.09341185,3.3283333
4.09341185,3.3283333
4.09341185,3.3283333
3.4502193249999995,3.3283333
3.4502193249999995,3.3283333
3.4502193249999995,3.2523333
3.5196156,3.2523333
3.5196156,3.2523333
3.5196156,3.2523333
3.5751357999999995,3.2523333
3.5751357999999995,3.2523333
3.5751357999999995,3.265
3.735311925,3.265
3.735311925,3.265
3.735311925,3.246
4.257933975,3.246
4.257933975,3.246
4.257933975,3.36
4.475729925000001,3.36
4.475729925000001,3.36
4.475729925000001,3.259
3.992470025,3.259
3.992470025,3.259
3.992470025,3.303
3.80301305,3.303
3.80301305,3.303
3.80301305,3.3093333
3.487009575,3.3093333
3.487009575,3.3093333
3.487009575,3.322
3.710866875,3.322
3.710866875,3.322
3.710866875,3.3283333
3.455747275,3.3283333
3.455747275,3.3283333
3.455747275,3.303
4.386603699999999,3.303
4.386603699999999,3.303
4.386603699999999,3.2713333
3.5063647250000005,3.2713333
3.5063647250000005,3.2713333
3.5063647250000005,3.2716667
4.558608125,3.2716667
4.558608125,3.2716667
4.558608125,3.265
3.740494025,3.265
3.740494025,3.265
3.740494025,3.3156667
4.125030925,3.3156667
4.125030925,3.3156667
4.125030925,3.3156667
4.345070125,3.3156667
4.345070125,3.3156667
4.345070125,3.398
4.073597524999999,3.398
4.073597524999999,3.398
4.073597524999999,3.36
3.635530325,3.36
3.635530325,3.36
3.635530325,3.3663333
4.0292102750000005,3.3663333
4.0292102750000005,3.3663333
4.0292102750000005,3.398
3.775046625,3.398
3.775046625,3.398
3.775046625,3.3726667
4.244615725,3.3726667
4.244615725,3.3726667
4.244615725,3.379
3.27222675,3.379
3.27222675,3.379
26.588054075,3.9363333
26.588054075,3.9363333
26.588054075,3.968
27.906198825,3.968
27.906198825,3.968
27.906198825,3.9743333
28.956686150000003,3.9743333
28.956686150000003,3.9743333
28.956686150000003,4.0566667
28.560456875,4.0566667
28.560456875,4.0566667
86.29143275,5.6073333
86.29143275,5.6073333
86.29143275,5.329000000000001
92.2809439,5.329000000000001
92.2809439,5.329000000000001
53.42472667500002,4.5443333
53.42472667500002,4.5443333
53.42472667500002,4.5633333
49.91482745,4.5633333
49.91482745,4.5633333
49.91482745,3.683
12.687304775,3.683
12.687304775,3.683
12.687304775,3.588
7.337711,3.588
7.337711,3.588
7.337711,3.797
26.844714374999995,3.797
26.844714374999995,3.797
26.844714374999995,3.8603333
28.387335275,3.8603333
28.387335275,3.8603333
28.387335275,4.012
29.771634325,4.012
29.771634325,4.012
29.771634325,4.0186667
29.757406175,4.0186667
29.757406175,4.0186667
29.757406175,4.329
51.979993675,4.329
51.979993675,4.329
51.979993675,4.272
50.370278625000005,4.272
50.370278625000005,4.272
50.370278625000005,4.063
30.763050075,4.063
30.763050075,4.063
30.763050075,4.063
28.974558725,4.063
28.974558725,4.063
28.974558725,4.063
28.974558725,4.063
28.974558725,4.063
28.974558725,4.063
28.974558725,4.063
28.974558725,4.063
28.974558725,4.215569
28.974558725,4.215569
28.974558725,4.215569
28.974558725,4.063
40.725813775,4.063
40.725813775,4.063
40.725813775,3.955
29.609844525,3.955
29.609844525,3.955
29.609844525,4.272
30.5776633,4.272
30.5776633,4.272
30.5776633,4.405
30.241792875,4.405
30.241792875,4.405
30.241792875,4.1643333
28.9621205,4.1643333
28.9621205,4.1643333
28.9621205,4.0313333
28.8455184,4.0313333
28.8455184,4.0313333
28.8455184,3.7463333
28.409709875000004,3.7463333
28.409709875000004,3.7463333
28.409709875000004,3.6006667
28.00076275,3.6006667
28.00076275,3.6006667
28.00076275,3.9043333
45.10076505000001,3.9043333
45.10076505000001,3.9043333
45.10076505000001,4.0693333
29.692037075,4.0693333
29.692037075,4.0693333
29.692037075,4.0566667
28.83348377500001,4.0566667
28.83348377500001,4.0566667
28.83348377500001,4.0433333
28.324065725,4.0433333
28.324065725,4.0433333
28.324065725,4.0246667
30.191671050000004,4.0246667
30.191671050000004,4.0246667
30.191671050000004,4.0693333
29.008032825,4.0693333
29.008032825,4.0693333
29.008032825,4.006
27.9533044,4.006
