zone_key,emission_factor_type,production_mode,datetime,value,source
SN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
ST,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SV,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SY,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
SZ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TD,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TF,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TG,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TJ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TL,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TT,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TW,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
TZ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
UA-CR,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
UA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
UG,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
US-AK-SEAPA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
US-HI-HA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
US-HI-KA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
US-HI-KH,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
US-HI-LA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
US-HI-MA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
US-HI-MO,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
US-HI-NI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
US-HI-OA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
UY,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
UZ,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
VC,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
VE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
VI,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
VN-C,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
VN-N,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
VN-S,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
VN,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
VU,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
WS,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
XK,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
XX,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
YE,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
YT,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
ZA,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
ZM,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
ZW,direct,gas,9/9/2024 0:00:00,370,IPCC 2014
US-NW-NEVP,lifecycle,gas,9/9/2024 0:00:00,519.5,eGrid 2021; IPCC 2014
US-NW-PSCO,direct,gas,9/9/2024 0:00:00,469,eGrid 2021
US-NW-PSCO,lifecycle,gas,9/9/2024 0:00:00,589,eGrid 2021; IPCC 2014
US-NW-BPAT,lifecycle,gas,9/9/2024 0:00:00,505.5,eGrid 2021; IPCC 2014
AD,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AE,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AF,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AG,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AL,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AM,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AO,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AR,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-LH,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-NSW,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-NT,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-QLD,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-SA,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-TAS-CBI,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-TAS-FI,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-TAS-KI,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-TAS,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-VIC,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-WA-RI,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU-WA,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
AU,lifecycle,gas,9/9/2024 0:00:00,490,IPCC 2014
